step,y
1,286.5
2,282.2
3,279.1
4,270.9
5,271.1
6,271.0
7,270.8
8,267.1
9,271.0
10,274.1
11,273.9
12,271.2
13,272.9
14,278.9
15,281.1
16,279.3
17,272.9
18,273.0
19,274.2
20,274.7
21,273.8
22,278.1
23,281.7
24,284.9
25,281.5
26,282.2
27,286.0
28,287.0
29,284.1
30,280.6
31,283.6
32,283.0
33,283.5
34,281.2
35,282.5
36,286.0
37,288.4
38,282.0
39,281.0
40,284.0
41,285.8
42,286.6
43,281.5
44,288.4
45,291.2
46,290.8
47,287.5
48,291.8
49,292.6
50,295.5
51,295.0
52,296.9
53,302.2
54,297.3
55,294.3
56,285.6
57,286.5
58,287.3
59,287.5
60,281.4
61,284.2
62,286.6
63,289.4
64,286.0
65,286.7
66,293.1
67,298.5
68,300.6
69,293.7
70,291.7
71,292.7
72,291.8
73,288.3
74,292.3
75,295.1
76,298.1
77,295.6
78,292.7
79,299.4
80,300.6
81,300.2
82,294.8
83,297.1
84,298.3
85,299.6
86,295.1
87,294.8
88,297.2
89,303.4
90,299.8
91,294.3
92,301.5
93,304.4
94,303.4
95,300.3
96,304.8
97,305.7
98,308.2
99,302.9
100,304.8
101,311.0
102,313.2
103,315.6
104,315.0
105,323.3
106,319.8
107,315.8
108,307.2
109,303.9
110,307.1
111,307.3
112,302.8
113,303.0
114,308.0
115,310.3
116,308.5
117,305.2
118,315.6
119,321.5
120,322.0
121,315.9
122,314.0
123,312.3
124,313.6
125,308.9
126,310.0
127,316.7
128,318.5
129,319.4
130,314.9
131,323.3
132,324.6
133,324.8
134,317.9
135,320.3
136,321.7
137,321.5
138,318.3
139,318.0
140,323.6
141,327.1
142,325.5
143,319.1
144,326.1
145,329.0
146,329.7
147,325.2
148,327.0
149,332.5
150,333.6
151,329.9
152,329.3
153,336.7
154,337.8
155,340.9
156,338.5
157,349.6
158,348.0
159,342.9
160,334.7
161,326.7
162,330.1
163,330.4
164,326.7
165,324.8
166,331.5
167,331.8
168,330.8
169,327.2
170,337.7
171,343.9
172,345.8
173,342.5
174,343.3
175,338.0
