step,y
1,1820.0
2,1813.0
3,1806.0
4,1799.0
5,1792.0
6,1820.0
7,1813.0
8,1806.0
9,1799.0
10,1820.0
11,1813.0
12,1806.0
13,1799.0
14,1850.0
15,1813.0
16,1806.0
17,1799.0
18,1792.0
19,1792.0
20,1813.0
21,1806.0
22,1799.0
23,1820.0
24,1814.0
25,1806.0
26,1799.0
27,1792.0
28,1820.0
29,1813.0
30,1806.0
31,1799.0
32,1820.0
33,1813.0
34,1806.0
35,1799.0
36,1820.0
37,1813.0
38,1806.0
39,1799.0
40,1820.0
41,1813.0
42,1807.0
43,1799.0
44,1793.0
45,1819.0
46,1812.0
47,1805.0
48,1798.0
49,1820.0
50,1813.0
51,1806.0
52,1799.0
53,1820.0
54,1813.0
55,1806.0
56,1799.0
57,1792.0
58,1820.0
59,1813.0
60,1806.0
61,1799.0
62,1820.0
63,1813.0
64,1806.0
65,1799.0
66,1820.0
67,1813.0
68,1806.0
69,1799.0
70,1792.0
71,1820.0
72,1813.0
73,1807.0
74,1799.0
75,1820.0
76,1813.0
77,1806.0
78,1800.0
79,1820.0
80,1812.0
81,1805.0
82,1798.0
83,1791.0
84,1821.0
85,1813.0
86,1806.0
87,1799.0
88,1820.0
89,1813.0
90,1806.0
91,1799.0
92,1820.0
93,1814.0
94,1806.0
95,1799.0
96,1792.0
97,1820.0
98,1813.0
99,1806.0
100,1799.0
101,1820.0
102,1813.0
103,1806.0
104,1799.0
105,1820.0
106,1813.0
107,1806.0
108,1799.0
109,1792.0
110,1820.0
111,1813.0
112,1806.0
113,1799.0
114,1820.0
115,1813.0
116,1807.0
117,1799.0
118,1820.0
119,1813.0
120,1806.0
121,1799.0
122,1792.0
123,1785.0
124,1820.0
125,1813.0
126,1806.0
127,1799.0
128,1792.0
129,1785.0
130,1778.0
131,1820.0
132,1813.0
133,1806.0
134,1799.0
135,1792.0
136,1792.0
137,1820.0
138,1813.0
139,1806.0
140,1799.0
141,1792.0
142,1785.0
