step,y
1,733.6
2,856.2
3,778.3
4,763.2
5,744.5
6,745.7
7,681.4
8,668.7
9,695.1
10,729.7
11,662.7
12,648.6
13,682.5
14,699.3
15,704.4
16,644.1
17,701.9
18,714.1
19,730.8
20,647.6
21,676.7
22,689.5
23,708.2
24,707.6
25,669.8
26,710.6
27,732.2
28,736.5
29,670.6
30,745.0
31,754.5
32,766.2
33,691.3
34,708.1
35,735.6
36,760.5
37,743.6
38,717.3
39,755.9
40,760.3
41,763.6
42,671.1
43,724.6
44,752.6
45,769.6
46,712.0
47,701.8
48,757.4
49,782.5
50,782.7
51,748.8
52,803.1
53,788.9
54,889.4
55,873.5
56,835.0
57,811.5
58,805.4
59,751.8
60,714.4
61,757.6
62,796.5
63,749.6
64,687.1
65,745.6
66,760.4
67,785.7
68,708.6
69,762.4
70,793.9
71,829.8
72,763.6
73,751.1
74,783.2
75,808.3
76,784.2
77,763.0
78,807.6
79,822.1
80,840.1
81,742.8
82,815.7
83,819.1
84,832.5
85,794.6
86,755.4
87,801.2
88,824.1
89,841.5
90,743.0
91,836.0
92,825.8
93,847.1
94,742.2
95,784.4
96,827.6
97,846.2
98,824.1
99,763.8
100,838.1
101,849.1
102,893.0
103,813.6
104,863.5
105,863.6
106,899.6
107,923.5
108,882.1
109,881.8
110,877.3
111,856.9
112,759.5
113,821.3
114,818.1
115,850.0
116,749.3
117,830.0
118,851.0
119,874.6
120,772.9
121,834.9
122,889.4
123,899.9
124,854.3
125,814.9
126,858.5
127,875.3
128,869.4
129,836.0
130,862.4
131,868.0
132,896.7
133,785.0
134,882.9
135,893.3
136,899.5
137,879.0
138,820.1
139,877.3
140,894.2
141,928.1
142,817.8
143,912.1
144,899.2
145,920.3
146,861.7
147,840.4
148,898.4
149,918.4
150,919.4
151,824.9
152,909.5
153,925.5
154,983.9
155,892.5
156,936.1
157,942.1
158,954.1
159,1068.0
160,1012.4
161,989.9
162,980.4
163,972.3
164,855.1
165,908.0
166,910.8
167,955.8
168,846.0
169,885.4
170,894.8
171,936.7
172,887.9
173,879.4
174,925.1
175,952.0
176,919.4
177,864.0
178,921.6
179,939.7
180,952.5
181,903.5
182,939.0
183,951.4
184,976.3
185,908.7
186,956.9
187,988.3
188,990.9
189,981.3
190,877.9
191,947.4
192,958.7
193,998.4
194,889.8
195,984.3
196,991.3
197,1006.2
198,947.7
199,910.1
200,986.1
201,1007.1
202,1013.3
203,914.4
204,978.5
205,1005.6
206,1084.7
207,1001.3
208,1026.2
209,1051.8
210,1043.6
211,1199.6
212,1116.9
213,1100.2
214,1068.7
215,1056.0
216,932.2
217,973.9
218,982.1
219,1039.6
220,913.3
221,976.0
222,977.7
223,1007.7
224,965.5
225,931.2
226,996.4
227,1054.5
228,1032.4
229,935.3
230,997.7
231,1015.1
232,1036.4
233,986.5
234,1011.0
235,1044.5
236,1076.7
237,1033.4
238,1043.8
239,1081.1
240,1081.4
241,1089.1
242,984.8
243,1048.6
244,1059.6
245,1113.3
246,1016.8
247,1084.1
248,1095.9
249,1107.9
250,1069.2
251,994.8
252,1088.9
253,1103.9
254,1125.2
255,1001.5
256,1055.2
257,1105.5
258,1180.5
259,1136.4
260,1100.0
261,1143.9
262,1126.8
263,1342.9
264,1246.6
265,1223.6
266,1171.4
267,1165.2
268,1027.6
269,1069.5
270,1086.7
271,1141.0
272,1032.3
273,1023.2
274,1073.4
275,1107.2
276,1102.0
277,1017.0
278,1126.9
279,1139.9
280,1139.5
281,1018.1
282,1090.9
283,1108.0
284,1124.1
285,1139.7
286,1067.6
287,1122.2
288,1154.3
289,1148.8
290,1049.0
291,1153.9
292,1152.8
293,1173.5
294,1046.5
295,1112.3
296,1158.0
297,1205.2
298,1164.6
299,1161.9
300,1199.9
301,1207.8
302,1203.8
303,1087.0
304,1152.9
305,1203.9
306,1226.5
307,1735.0
308,1693.7
309,1831.7
310,1806.4
311,1831.7
312,1766.3
313,1848.2
314,1777.1
315,2031.5
316,2018.3
317,1977.2
318,1896.9
319,1877.8
320,1752.1
321,1684.8
322,1746.5
323,1853.9
324,1720.7
325,1656.8
326,1722.3
327,1754.2
328,1776.4
329,1623.8
330,1743.1
331,1803.0
332,1865.1
333,1670.4
334,1762.2
335,1822.5
336,1831.6
337,1882.8
338,1728.6
339,1831.9
340,1849.3
341,1885.6
342,1672.7
343,1889.0
344,1869.1
345,1903.4
346,1791.0
347,1799.5
348,1869.0
349,1916.0
350,1938.4
351,1759.9
352,1962.6
353,1939.2
354,1948.9
355,1761.6
356,1856.2
357,1923.7
358,1940.2
359,1859.9
360,1793.0
361,1936.8
362,1956.0
363,2033.1
364,1861.3
365,1974.9
366,1917.2
367,1972.3
368,2098.0
369,2100.9
370,2044.9
371,2006.2
372,1922.0
373,1815.5
374,1890.8
375,1993.6
376,1879.6
377,1762.1
378,1857.4
379,1885.8
380,1920.8
381,1724.3
382,1870.2
383,1961.1
384,1963.9
385,1855.2
386,1846.0
387,1917.5
388,1955.9
389,1940.1
390,1866.4
391,1969.0
392,1966.0
393,2024.6
394,1793.2
395,2025.2
396,1984.6
397,2017.2
398,1922.7
399,1883.4
400,1957.9
401,2000.6
402,2054.1
403,1874.4
404,2042.2
405,2004.5
406,2032.7
407,1839.1
408,1928.0
409,2016.6
410,2017.5
411,1990.5
412,1868.8
413,2038.7
414,2026.7
415,2138.2
416,1950.6
417,2049.6
418,2010.5
419,2146.3
420,2218.7
421,2183.6
422,2122.8
423,2095.2
424,2039.6
425,1868.4
426,1966.3
427,1985.9
428,2030.7
429,1829.7
430,1939.2
431,1969.2
432,2005.9
433,1862.5
434,1963.0
435,2024.4
436,2030.7
437,1951.6
438,1887.7
439,1985.6
440,2013.6
441,2047.7
442,1963.6
443,2015.0
444,2028.4
445,2102.7
446,1918.2
447,2098.4
448,2068.4
449,2080.4
450,2028.4
451,1941.4
452,1936.1
453,2073.5
454,2136.4
455,1968.2
456,2136.4
457,2096.3
458,2101.7
459,2005.7
460,1967.6
461,2091.0
462,2094.9
463,2095.6
464,1919.0
465,2103.6
466,2092.9
467,2034.8
468,2038.3
469,2129.2
470,2091.2
471,2150.8
472,2402.7
473,2323.8
474,2247.5
475,2275.2
476,2275.2
477,2172.3
478,2172.3
479,1998.9
480,1998.9
481,2094.6
482,2094.6
483,1980.7
484,1980.7
485,2048.9
486,2048.9
487,2002.5
488,2002.5
489,2066.9
490,2066.9
491,2059.0
492,2059.0
493,2062.2
494,2062.2
495,2113.7
496,2113.7
497,2072.6
498,2072.6
499,2165.7
500,2165.7
501,2158.1
502,2158.1
503,2202.9
504,2202.9
505,2082.7
506,2082.7
507,2157.3
508,2157.3
509,2162.0
510,2162.0
511,2229.4
512,2229.4
513,2128.6
514,2128.6
515,2200.0
516,2200.0
517,2158.6
518,2158.6
519,2154.2
520,2154.2
521,2320.5
522,2320.5
523,2202.6
524,2202.6
525,2369.1
526,2369.1
527,2473.0
528,2473.0
529,2304.7
530,2304.7
531,2135.7
532,2135.7
